Database, ID, Level, Product, Moduloe, Status, Synopsis
PR_ET_SCADE,PR-7139,Medium,DISPLAY-IDE,Animation,PR_entered,Extened Visualization Area displays incorrect when Animation on Enhanced full-screen mode & Distortion full-screen mode 

CR_SCADE,CR-5913,Minor,SUITE-IDE,User Documentation,CR_resolved,Error "font" is raised in the LibrariesManual_SC-LM-60.pdf 
CR_SCADE,CR-11048,Minor,SUITE-IDE,Display integration,CR_resolved,Give access to the Locate function from the Suite/Display Mapping panel 
CR_SCADE,CR-11796,Minor,CVK,User Documentation,CR_for_modification,Reference the updated ISO 1999 standard in CVK 
CR_SCADE,CR-12335,Minor,CVK,User Documentation,CR_for_modification,Mention in CVK user manual that structural code coverage should be checked on target 
CR_SCADE,CR-12724,Medium,DISPLAY-IDE,Editor,CR_resolved,Rich Text:Reference object disappear when rich text object contain Repeat character and plugged on Text parameter 
CR_SCADE,CR-12741,Minor,SUITE-IDE,Display integration,CR_pre_entered,Scade Suite crash when launch behavior object 
CR_SCADE,CR-12895,Minor,SUITE-IDE,User Documentation,CR_pre_entered,Should provide from the top-level startup page a product specific No Installation page information if this product not installed. 
CR_SCADE,CR-12907,Minor,DISPLAY-IDE,CG Integration,CR_for_modification,Problem with mouse management in some Rapid Prototyper widgets 
CR_SCADE,CR-13072,Minor,SUITE-IDE,Display integration,CR_pre_entered,Connect button was unavailable after Remove All Connections and again to Connect 
CR_SCADE,CR-13463,Minor,SCADE Lifecycle,Reporter Display,CR_for_modification,SCADE Display report: hyperlink references shall be stable between 2 report generation 
CR_SCADE,CR-13546,Medium,DISPLAY-IDE,Editor,CR_resolved,New object is not masked by the clip box when using the hook. 
CR_SCADE,CR-13594,Minor,SCADE Lifecycle,Reporter Display,CR_for_modification,Container screenshots should be reported when container visibility is set to false 
CR_SCADE,CR-13611,Minor,DISPLAY-IDE,Animation,CR_resolved,Add a button to open "Text Area Editing" window or "Rich Text Editing" window in animation 
CR_SCADE,CR-13612,Minor,DISPLAY-IDE,Editor,CR_for_modification,Bitmap not updated on Visualization Area before reloading specification 
CR_SCADE,CR-13616,Minor,DISPLAY-IDE,Checker,CR_resolved,"Arc,circle and crown rule" doesn report error when arc angle=0 
CR_SCADE,CR-13617,Medium,DISPLAY-IDE,Editor,CR_for_modification,Variable representation value not be copied when click 'Ctrl+D'/'Ctrl+C', 'Ctrl+V' to copy a variable 
CR_SCADE,CR-13618,Minor,DISPLAY-IDE,Checker,CR_resolved,"Arc,circle and crown rule" should not work on Crown object when start angle=0 and end angle=360 
CR_SCADE,CR-13636,Minor,SCADE Lifecycle,Reporter Display,CR_in_review,Reporter Generation: Output directory is empty after select a directory and reopen the panel 
CR_SCADE,CR-13638,Severe,SCADE Lifecycle,Reporter Display,CR_for_modification,Crash when generate SDY report with Chinese characters on Win XP 
CR_SCADE,CR-13641,Medium,SUITE-IDE,Display integration,CR_resolved,Resizing the display window when cosimulation in Pause mode does NOT resize display, which seems to be freezed 
CR_SCADE,CR-13642,Medium,SUITE-IDE,Display integration,CR_resolved,Downsizing the display does not resize well the lines 
CR_SCADE,CR-13647,Medium,DISPLAY-IDE,CG Integration,CR_integrated,If Standalone executable generation fails, do not launch the old executable 
CR_SCADE,CR-13649,Medium,DISPLAY-IDE,CG Integration,CR_resolved,Problems with standalone executable and resizing/moving 
